index,Notice Type,Posted Date/Time,Notice Effective Date/Time,Notice End Date/Time,Notice Identifier,Subject,Response Date/Time,unit
35,Capacity Constraint,08/10/2022 07:38:00 AM,08/10/2022 07:38:00 AM,11/08/2022 07:38:00 AM,123749,BGS Planned Outage -- COMPLETE,,BGS
36,Capacity Constraint,08/09/2022 03:23:00 PM,08/10/2022 09:00:00 AM,08/11/2022 09:00:00 AM,123744,BGS Storage Conditions for 8/10/2022,,BGS
37,Capacity Constraint,08/08/2022 02:28:07 PM,08/09/2022 09:00:00 AM,08/10/2022 09:00:00 AM,123696,Bobcat Storage Conditions for 8/9/2022,,BGS
38,Capacity Constraint,08/07/2022 03:06:47 PM,08/08/2022 09:00:00 AM,08/09/2022 09:00:00 AM,123668,BGS Storage Conditions for 8/8/2022,,BGS
39,Capacity Constraint,08/06/2022 03:32:29 PM,08/07/2022 09:00:00 AM,08/08/2022 09:00:00 AM,123649,BGS Storage Conditions for 8/7/2022,,BGS
40,Capacity Constraint,08/05/2022 03:34:56 PM,08/06/2022 09:00:00 AM,08/07/2022 09:00:00 AM,123626,BGS Storage Conditions for 8/6/2022,,BGS
41,Capacity Constraint,08/04/2022 02:29:21 PM,08/05/2022 09:00:00 AM,08/06/2022 09:00:00 AM,123579,BGS Storage Conditions for 8/5/2022,,BGS
42,Capacity Constraint,08/03/2022 02:27:47 PM,08/04/2022 09:00:00 AM,08/05/2022 09:00:00 AM,123547,BGS Storage Conditions for 8/4/2022,,BGS
0,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126205,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,BIG
1,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125868,LINK System Maintenance the weekend of October 14th,,BIG
2,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125767,"Reminder - Application Maintenance on Wednesday October 5, 2022",,BIG
3,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125495,"LINK Application Maintenance Postponed until October 5, 2022",,BIG
4,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125467,"Reminder about Application Maintenance on Wednesday September 28, 2022",,BIG
5,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124933,"Changes to LINK System Maintenance for the week of September 12, 2022",,BIG
6,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124552,Application Maintenance on September 14,,BIG
7,Computer System Status,08/23/2022 08:25:51 AM,08/23/2022 08:25:51 AM,11/21/2022 08:25:51 AM,124230,Implementation of Texas Railroad Commission Curtailment Rule,,BIG
8,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124057,LINK System Maintenance the weekend of September 16th,,BIG
0,Capacity Constraint,10/28/2022 03:16:40 PM,10/28/2022 03:16:40 PM,01/26/2023 03:16:40 PM,126802,BSP Line H200 Isolation -- COMPLETE,,BSP
1,Capacity Constraint,10/27/2022 02:30:28 PM,10/28/2022 09:00:00 AM,10/29/2022 09:00:00 AM,126748,BSP Pipeline Conditions for 10/28/2022,,BSP
2,Capacity Constraint,10/26/2022 02:09:26 PM,10/27/2022 09:00:00 AM,10/28/2022 09:00:00 AM,126697,BSP Pipeline Conditions for 10/27/2022,,BSP
3,Capacity Constraint,10/25/2022 04:14:41 PM,10/26/2022 09:00:00 AM,10/27/2022 09:00:00 AM,126675,BSP Pipeline Conditions for 10/26/2022,,BSP
4,Capacity Constraint,10/24/2022 03:15:00 PM,10/25/2022 09:00:00 AM,10/26/2022 09:00:00 AM,126630,BSP Pipeline Conditions for 10/25/2022,,BSP
5,Capacity Constraint,10/23/2022 03:28:46 PM,10/24/2022 09:00:00 AM,10/25/2022 09:00:00 AM,126585,BSP Pipeline Conditions for 10/24/2022,,BSP
6,Capacity Constraint,10/22/2022 01:59:42 PM,10/23/2022 09:00:00 AM,10/24/2022 09:00:00 AM,126528,BSP Pipeline Conditions for 10/23/2022,,BSP
7,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126206,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,BSP
8,Force Majeure,10/11/2022 04:43:30 PM,10/11/2022 04:43:30 PM,01/09/2023 04:43:30 PM,126132,Big Sandy Pipeline Force Majeure - LIFTED,,BSP
9,Capacity Constraint,10/11/2022 04:42:58 PM,10/11/2022 04:42:58 PM,01/09/2023 04:42:58 PM,126131,Big Sandy Pipeline Unplanned Outage - COMPLETE,,BSP
10,Force Majeure,10/11/2022 12:36:59 PM,10/11/2022 12:36:59 PM,01/09/2023 12:36:59 PM,126099,Big Sandy Pipeline Force Majeure,,BSP
11,Capacity Constraint,10/11/2022 12:33:01 PM,10/11/2022 12:33:01 PM,01/09/2023 12:33:01 PM,126098,Big Sandy Pipeline Unplanned Outage,,BSP
12,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125869,LINK System Maintenance the weekend of October 14th,,BSP
13,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125768,"Reminder - Application Maintenance on Wednesday October 5, 2022",,BSP
14,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125496,"LINK Application Maintenance Postponed until October 5, 2022",,BSP
15,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125468,"Reminder about Application Maintenance on Wednesday September 28, 2022",,BSP
16,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124934,"Changes to LINK System Maintenance for the week of September 12, 2022",,BSP
17,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124553,Application Maintenance on September 14,,BSP
18,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124058,LINK System Maintenance the weekend of September 16th,,BSP
0,Capacity Constraint,10/31/2022 04:01:00 PM,11/01/2022 09:00:00 AM,11/02/2022 09:00:00 AM,126911,Egan Storage Conditions for 11/1/2022,,EG
1,Capacity Constraint,10/30/2022 02:56:05 PM,10/31/2022 09:00:00 AM,11/01/2022 09:00:00 AM,126859,Egan Storage Conditions for 10/31/2022,,EG
2,Capacity Constraint,10/29/2022 03:05:00 PM,10/30/2022 09:00:00 AM,10/31/2022 09:00:00 AM,126822,Egan Storage Conditions for 10/30/2022,,EG
3,Capacity Constraint,10/28/2022 03:27:00 PM,10/29/2022 09:00:00 AM,10/30/2022 09:00:00 AM,126806,Egan Storage Conditions for 10/29/2022,,EG
4,Capacity Constraint,10/27/2022 03:23:00 PM,10/28/2022 09:00:00 AM,10/29/2022 09:00:00 AM,126765,Egan Storage Conditions for 10/28/2022,,EG
5,Capacity Constraint,10/26/2022 02:34:32 PM,10/27/2022 09:00:00 AM,10/28/2022 09:00:00 AM,126706,Egan Storage Conditions for 10/27/2022,,EG
6,Capacity Constraint,10/25/2022 04:08:42 PM,10/26/2022 09:00:00 AM,10/27/2022 09:00:00 AM,126674,Egan Storage Conditions for 10/26/2022,,EG
7,Capacity Constraint,10/25/2022 10:19:22 AM,10/25/2022 10:19:22 AM,10/26/2022 09:00:00 AM,126644,EGAN Storage Conditions for 10/25/2022 -- INTRADAY,,EG
8,Capacity Constraint,10/23/2022 03:27:43 PM,10/24/2022 09:00:00 AM,10/25/2022 09:00:00 AM,126584,Egan Storage Conditions for 10/24/2022,,EG
9,Capacity Constraint,10/22/2022 02:49:35 PM,10/23/2022 09:00:00 AM,10/24/2022 09:00:00 AM,126539,Egan Storage Conditions for 10/23/2022,,EG
10,Capacity Constraint,10/21/2022 03:22:29 PM,10/22/2022 09:00:00 AM,10/23/2022 09:00:00 AM,126516,Egan Storage Conditions for 10/22/2022,,EG
11,Capacity Constraint,10/20/2022 04:17:20 PM,10/21/2022 09:00:00 AM,10/22/2022 09:00:00 AM,126482,Egan Storage Conditions for 10/21/2022,,EG
12,Capacity Constraint,10/19/2022 03:23:10 PM,10/20/2022 09:00:00 AM,10/21/2022 09:00:00 AM,126436,Egan Storage Conditions for 10/20/2022,,EG
13,Capacity Constraint,10/18/2022 03:09:40 PM,10/19/2022 09:00:00 AM,10/20/2022 09:00:00 AM,126402,Egan Storage Conditions for 10/19/2022,,EG
14,Capacity Constraint,10/17/2022 03:25:00 PM,10/18/2022 09:00:00 AM,10/19/2022 09:00:00 AM,126347,Egan Storage Conditions for 10/18/2022,,EG
15,Capacity Constraint,10/16/2022 03:00:02 PM,10/17/2022 09:00:00 AM,10/18/2022 09:00:00 AM,126298,Egan Storage Conditions for 10/17/2022,,EG
16,Capacity Constraint,10/15/2022 02:46:39 PM,10/16/2022 09:00:00 AM,10/17/2022 09:00:00 AM,126271,Egan Storage Conditions for 10/16/2022,,EG
17,Capacity Constraint,10/14/2022 03:44:00 PM,10/15/2022 09:00:00 AM,10/16/2022 09:00:00 AM,126254,Egan Storage Conditions for 10/15/2022,,EG
18,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126207,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,EG
19,Capacity Constraint,10/13/2022 03:03:00 PM,10/14/2022 09:00:00 AM,10/15/2022 09:00:00 AM,126183,Egan Storage Conditions for 10/14/2022,,EG
20,Capacity Constraint,10/12/2022 03:24:15 PM,10/13/2022 09:00:00 AM,10/14/2022 09:00:00 AM,126158,Egan Storage Conditions for 10/13/2022,,EG
21,Capacity Constraint,10/11/2022 03:05:10 PM,10/12/2022 09:00:00 AM,10/13/2022 09:00:00 AM,126114,Egan Storage Conditions for 10/12/2022,,EG
22,Capacity Constraint,10/10/2022 03:38:25 PM,10/11/2022 09:00:00 AM,10/12/2022 09:00:00 AM,126060,Egan Storage Conditions for 10/11/2022,,EG
23,Capacity Constraint,10/09/2022 03:34:50 PM,10/10/2022 09:00:00 AM,10/11/2022 09:00:00 AM,126004,Egan Storage Conditions for 10/10/2022,,EG
24,Capacity Constraint,10/09/2022 01:10:00 PM,10/11/2022 09:00:00 AM,01/07/2023 09:00:00 AM,125983,Egan Operational Advisory,,EG
25,Capacity Constraint,10/08/2022 03:18:28 PM,10/09/2022 09:00:00 AM,10/10/2022 09:00:00 AM,125976,Egan Storage Conditions for 10/9/2022,,EG
26,Capacity Constraint,10/07/2022 03:49:01 PM,10/08/2022 09:00:00 AM,10/09/2022 09:00:00 AM,125944,Egan Storage Conditions for 10/8/2022,,EG
27,Capacity Constraint,10/07/2022 01:36:58 PM,10/07/2022 01:36:58 PM,10/08/2022 09:00:00 AM,125917,Egan Storage Conditions for 10/7/2022 -- INTRADAY,,EG
28,Capacity Constraint,10/07/2022 09:02:00 AM,10/07/2022 09:02:00 AM,10/08/2022 09:00:00 AM,125913,Egan Storage Conditions for 10/7/2022 -- INTRADAY,,EG
29,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125870,LINK System Maintenance the weekend of October 14th,,EG
30,Capacity Constraint,10/06/2022 10:38:51 AM,10/06/2022 10:38:51 AM,10/07/2022 09:00:00 AM,125858,Egan Storage Conditions for 10/6/2022 -- INTRADAY,,EG
31,Capacity Constraint,10/04/2022 03:03:51 PM,10/05/2022 09:00:00 AM,10/06/2022 09:00:00 AM,125797,Egan Storage Conditions for 10/5/2022,,EG
32,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125769,"Reminder - Application Maintenance on Wednesday October 5, 2022",,EG
33,Capacity Constraint,10/03/2022 03:16:02 PM,10/04/2022 09:00:00 AM,10/05/2022 09:00:00 AM,125759,Egan Storage Conditions for 10/4/2022,,EG
34,Capacity Constraint,10/02/2022 03:06:02 PM,10/03/2022 09:00:00 AM,10/04/2022 09:00:00 AM,125703,Egan Storage Conditions for 10/3/2022,,EG
35,Capacity Constraint,10/01/2022 03:16:21 PM,10/02/2022 09:00:00 AM,10/03/2022 09:00:00 AM,125686,EGAN Storage Conditions for 10/2/2022,,EG
36,Capacity Constraint,09/30/2022 03:47:36 PM,10/01/2022 09:00:00 AM,10/02/2022 09:00:00 AM,125656,Egan Storage Conditions for 10/1/2022,,EG
37,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125497,"LINK Application Maintenance Postponed until October 5, 2022",,EG
38,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125469,"Reminder about Application Maintenance on Wednesday September 28, 2022",,EG
39,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124935,"Changes to LINK System Maintenance for the week of September 12, 2022",,EG
40,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124554,Application Maintenance on September 14,,EG
41,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124059,LINK System Maintenance the weekend of September 16th,,EG
42,Capacity Constraint,08/11/2022 03:08:25 PM,08/12/2022 09:00:00 AM,08/13/2022 09:00:00 AM,123830,Egan Storage Conditions for 8/12/2022,,EG
43,Capacity Constraint,08/09/2022 11:06:32 AM,08/09/2022 11:06:32 AM,08/10/2022 09:00:00 AM,123720,Egan Storage Conditions for 8/9/2022 -- INTRADAY,,EG
0,Capacity Constraint,10/31/2022 03:43:00 PM,11/01/2022 09:00:00 AM,11/02/2022 09:00:00 AM,126904,ETNG Pipeline Conditions for 11/1/2022,,ET
1,Capacity Constraint,10/30/2022 03:01:28 PM,10/31/2022 09:00:00 AM,11/01/2022 09:00:00 AM,126862,ETNG Pipeline Conditions for 10/31/2022,,ET
2,Capacity Constraint,10/29/2022 03:12:07 PM,10/30/2022 09:00:00 AM,10/31/2022 09:00:00 AM,126839,ETNG Pipeline Conditions for 10/30/2022,,ET
3,Capacity Constraint,10/28/2022 02:47:59 PM,10/29/2022 09:00:00 AM,10/30/2022 09:00:00 AM,126783,ETNG Pipeline Conditions for 10/29/2022,,ET
4,Capacity Constraint,10/27/2022 02:29:14 PM,10/28/2022 09:00:00 AM,10/29/2022 09:00:00 AM,126747,ETNG Pipeline Conditions for 10/28/2022,,ET
5,Capacity Constraint,10/26/2022 02:26:57 PM,10/27/2022 09:00:00 AM,10/28/2022 09:00:00 AM,126704,ETNG Pipeline Conditions for 10/27/2022,,ET
6,Capacity Constraint,10/25/2022 04:16:00 PM,10/26/2022 09:00:00 AM,10/27/2022 09:00:00 AM,126677,ETNG Pipeline Conditions for 10/26/2022,,ET
7,Capacity Constraint,10/24/2022 03:02:00 PM,10/25/2022 09:00:00 AM,10/26/2022 09:00:00 AM,126618,ETNG Pipeline Conditions for 10/25/2022,,ET
8,Capacity Constraint,10/23/2022 03:35:04 PM,10/24/2022 09:00:00 AM,10/25/2022 09:00:00 AM,126588,ETNG Pipeline Conditions for 10/24/2022,,ET
9,Capacity Constraint,10/22/2022 03:06:22 PM,10/23/2022 09:00:00 AM,10/24/2022 09:00:00 AM,126544,ETNG Pipeline Conditions for 10/23/2022,,ET
10,Capacity Constraint,10/21/2022 03:40:00 PM,10/22/2022 09:00:00 AM,10/23/2022 09:00:00 AM,126519,ETNG Pipeline Conditions for 10/22/2022,,ET
11,Capacity Constraint,10/20/2022 04:11:00 PM,10/21/2022 09:00:00 AM,10/22/2022 09:00:00 AM,126481,ETNG Pipeline Conditions for 10/21/2022,,ET
12,Capacity Constraint,10/20/2022 09:43:00 AM,10/20/2022 09:43:00 AM,10/21/2022 09:00:00 AM,126449,ETNG Pipeline Conditions for 10/20/2022 - INTRADAY,,ET
13,Capacity Constraint,10/19/2022 04:19:00 PM,10/20/2022 09:00:00 AM,10/21/2022 09:00:00 AM,126440,ETNG Pipeline Conditions for 10/20/2022,,ET
14,Capacity Constraint,10/18/2022 02:55:00 PM,10/19/2022 09:00:00 AM,10/20/2022 09:00:00 AM,126388,ETNG Pipeline Conditions for 10/19/2022,,ET
15,Capacity Constraint,10/17/2022 02:17:06 PM,10/18/2022 09:00:00 AM,10/19/2022 09:00:00 AM,126327,ETNG Pipeline Conditions for 10/18/2022,,ET
16,Capacity Constraint,10/16/2022 03:07:31 PM,10/17/2022 09:00:00 AM,10/18/2022 09:00:00 AM,126316,ETNG Pipeline Conditions for 10/17/2022,,ET
17,Capacity Constraint,10/15/2022 02:30:56 PM,10/16/2022 09:00:00 AM,10/17/2022 09:00:00 AM,126266,ETNG Pipeline Conditions for 10/16/2022,,ET
18,Capacity Constraint,10/14/2022 02:37:00 PM,10/15/2022 09:00:00 AM,10/16/2022 09:00:00 AM,126231,ETNG Pipeline Conditions for 10/15/2022,,ET
19,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126208,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,ET
20,Capacity Constraint,10/13/2022 02:15:00 PM,10/14/2022 09:00:00 AM,10/15/2022 09:00:00 AM,126175,ETNG Pipeline Conditions for 10/14/2022,,ET
21,Capacity Constraint,10/12/2022 02:51:55 PM,10/13/2022 09:00:00 AM,10/14/2022 09:00:00 AM,126142,ETNG Pipeline Conditions for 10/13/2022,,ET
22,Capacity Constraint,10/11/2022 02:30:21 PM,10/12/2022 09:00:00 AM,10/13/2022 09:00:00 AM,126107,ETNG Pipeline Conditions for 10/12/2022,,ET
23,Capacity Constraint,10/10/2022 03:26:28 PM,10/11/2022 09:00:00 AM,10/12/2022 09:00:00 AM,126054,ETNG Pipeline Conditions for 10/11/2022,,ET
24,Capacity Constraint,10/09/2022 03:41:26 PM,10/10/2022 09:00:00 AM,10/11/2022 09:00:00 AM,126011,ETNG Pipeline Conditions for 10/10/2022,,ET
25,Capacity Constraint,10/08/2022 03:22:52 PM,10/09/2022 09:00:00 AM,10/10/2022 09:00:00 AM,125978,ETNG Pipeline Conditions for 10/9/2022,,ET
26,Capacity Constraint,10/07/2022 03:31:00 PM,10/08/2022 09:00:00 AM,10/09/2022 09:00:00 AM,125938,ETNG Pipeline Conditions for 10/8/2022,,ET
27,Capacity Constraint,10/06/2022 02:30:56 PM,10/07/2022 09:00:00 AM,10/08/2022 09:00:00 AM,125887,ETNG Pipeline Conditions for 10/7/2022,,ET
28,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125871,LINK System Maintenance the weekend of October 14th,,ET
29,Capacity Constraint,10/05/2022 02:40:35 PM,10/06/2022 09:00:00 AM,10/07/2022 09:00:00 AM,125833,ETNG Pipeline Conditions for 10/6/2022,,ET
30,Capacity Constraint,10/04/2022 03:11:08 PM,10/05/2022 09:00:00 AM,10/06/2022 09:00:00 AM,125810,ETNG Pipeline Conditions for 10/5/2022,,ET
31,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125770,"Reminder - Application Maintenance on Wednesday October 5, 2022",,ET
32,Capacity Constraint,10/03/2022 02:07:52 PM,10/04/2022 09:00:00 AM,10/05/2022 09:00:00 AM,125738,ETNG Pipeline Conditions for 10/4/2022,,ET
33,Capacity Constraint,10/02/2022 03:29:20 PM,10/03/2022 09:00:00 AM,10/04/2022 09:00:00 AM,125718,ETNG Pipeline Conditions for 10/3/2022,,ET
34,Capacity Constraint,10/01/2022 03:06:30 PM,10/02/2022 09:00:00 AM,10/03/2022 09:00:00 AM,125672,ETNG Pipeline Conditions for 10/2/2022,,ET
35,Capacity Constraint,09/30/2022 03:27:00 PM,10/01/2022 09:00:00 AM,10/02/2022 09:00:00 AM,125646,ETNG Pipeline Conditions for 10/1/2022,,ET
36,Capacity Constraint,09/29/2022 02:58:00 PM,09/30/2022 09:00:00 AM,10/01/2022 09:00:00 AM,125605,ETNG Pipeline Conditions for 9/30/2022,,ET
37,Capacity Constraint,09/28/2022 03:00:25 PM,09/29/2022 09:00:00 AM,09/30/2022 09:00:00 AM,125565,ETNG Pipeline Conditions for 9/29/2022,,ET
38,Capacity Constraint,09/27/2022 02:23:10 PM,09/28/2022 09:00:00 AM,09/29/2022 09:00:00 AM,125523,ETNG Pipeline Conditions for 9/28/2022,,ET
39,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125498,"LINK Application Maintenance Postponed until October 5, 2022",,ET
40,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125470,"Reminder about Application Maintenance on Wednesday September 28, 2022",,ET
41,Capacity Constraint,09/26/2022 02:22:52 PM,09/27/2022 09:00:00 AM,09/28/2022 09:00:00 AM,125446,ETNG Pipeline Conditions for 9/27/2022,,ET
42,Capacity Constraint,09/25/2022 02:41:27 PM,09/26/2022 09:00:00 AM,09/27/2022 09:00:00 AM,125418,ETNG Pipeline Conditions for 9/26/2022,,ET
43,Capacity Constraint,09/24/2022 02:39:31 PM,09/25/2022 09:00:00 AM,09/26/2022 09:00:00 AM,125387,ETNG Pipeline Conditions for 9/25/2022,,ET
44,Capacity Constraint,09/23/2022 03:04:00 PM,09/24/2022 09:00:00 AM,09/25/2022 09:00:00 AM,125377,ETNG Pipeline Conditions for 9/24/2022,,ET
45,Capacity Constraint,09/22/2022 03:19:00 PM,09/23/2022 09:00:00 AM,09/24/2022 09:00:00 AM,125346,ETNG Pipeline Conditions for 9/23/2022,,ET
46,Capacity Constraint,09/21/2022 02:42:00 PM,09/22/2022 09:00:00 AM,09/23/2022 09:00:00 AM,125294,ETNG Pipeline Conditions for 9/22/2022,,ET
47,Capacity Constraint,09/20/2022 02:49:12 PM,09/21/2022 09:00:00 AM,09/22/2022 09:00:00 AM,125256,ETNG Pipeline Conditions for 9/21/2022,,ET
48,Capacity Constraint,09/20/2022 07:37:07 AM,09/20/2022 09:00:00 AM,12/19/2022 07:37:07 AM,125242,Wartburg to Topside Detailed Investigations -- COMPLETE,,ET
49,Capacity Constraint,09/19/2022 02:06:05 PM,09/20/2022 09:00:00 AM,09/21/2022 09:00:00 AM,125214,ETNG Pipeline Conditions for 9/20/2022,,ET
50,Operational Flow Order,09/19/2022 07:56:17 AM,09/19/2022 09:00:00 AM,12/18/2022 07:56:17 AM,125212,ETNG Operational Flow Order -- LIFTED,,ET
51,Capacity Constraint,09/18/2022 03:13:21 PM,09/19/2022 09:00:00 AM,09/20/2022 09:00:00 AM,125209,ETNG Pipeline Conditions for 9/19/2022,,ET
52,Capacity Constraint,09/17/2022 03:29:17 PM,09/18/2022 09:00:00 AM,09/19/2022 09:00:00 AM,125181,ETNG Pipeline Conditions for 9/18/2022,,ET
53,Capacity Constraint,09/16/2022 03:12:00 PM,09/17/2022 09:00:00 AM,09/18/2022 09:00:00 AM,125155,ETNG Pipeline Conditions for 9/17/2022,,ET
54,Operational Flow Order,09/16/2022 07:25:00 AM,09/19/2022 09:00:00 AM,12/15/2022 09:00:00 AM,125127,ETNG Operational Flow Order - EFF 9AM 9/19,,ET
55,Operational Flow Order,09/16/2022 07:24:30 AM,09/16/2022 09:00:00 AM,12/15/2022 09:00:00 AM,125126,ETNG Operational Flow Order -- LIFTED EFF 9AM 9/16,,ET
56,Capacity Constraint,09/15/2022 02:10:21 PM,09/16/2022 09:00:00 AM,09/17/2022 09:00:00 AM,125105,ETNG Pipeline Conditions for 9/16/2022,,ET
57,Capacity Constraint,09/14/2022 02:30:03 PM,09/15/2022 09:00:00 AM,09/16/2022 09:00:00 AM,125080,ETNG Pipeline Conditions for 9/15/2022,,ET
58,Capacity Constraint,09/13/2022 02:35:28 PM,09/14/2022 09:00:00 AM,09/15/2022 09:00:00 AM,125044,ETNG Pipeline Conditions for 9/14/2022,,ET
59,Capacity Constraint,09/12/2022 03:03:00 PM,09/13/2022 09:00:00 AM,09/14/2022 09:00:00 AM,124970,ETNG Pipeline Conditions for 9/13/2022,,ET
60,Operational Flow Order,09/12/2022 08:20:00 AM,09/14/2022 09:00:00 AM,12/11/2022 09:00:00 AM,124956,ETNG Operational Flow Order - EFF 9AM 9/14,,ET
61,Operational Flow Order,09/12/2022 08:19:30 AM,09/12/2022 09:00:00 AM,12/11/2022 09:00:00 AM,124955,ETNG Operational Flow Order -- LIFTED EFF 9AM 9/12,,ET
62,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124936,"Changes to LINK System Maintenance for the week of September 12, 2022",,ET
63,Capacity Constraint,09/11/2022 03:15:59 PM,09/12/2022 09:00:00 AM,09/13/2022 09:00:00 AM,124926,ETNG Pipeline Conditions for 9/12/2022,,ET
64,Capacity Constraint,09/10/2022 02:53:35 PM,09/11/2022 09:00:00 AM,09/12/2022 09:00:00 AM,124887,ETNG Pipeline Conditions for 9/11/2022,,ET
65,Capacity Constraint,09/09/2022 03:20:00 PM,09/10/2022 09:00:00 AM,09/11/2022 09:00:00 AM,124867,ETNG Pipeline Conditions for 9/10/2022,,ET
66,Operational Flow Order,09/09/2022 06:54:26 AM,09/12/2022 09:00:00 AM,12/08/2022 06:54:26 AM,124828,ETNG Operational Flow Order - EFF 9AM 9/12,,ET
67,Operational Flow Order,09/09/2022 06:53:34 AM,09/10/2022 09:00:00 AM,12/08/2022 06:53:34 AM,124827,ETNG Operational Flow Order -- LIFTED EFF 9AM 9/10,,ET
68,Capacity Constraint,09/08/2022 02:29:12 PM,09/09/2022 09:00:00 AM,09/10/2022 09:00:00 AM,124804,ETNG Pipeline Conditions for 9/9/2022,,ET
69,Capacity Constraint,09/07/2022 02:08:58 PM,09/08/2022 09:00:00 AM,09/09/2022 09:00:00 AM,124771,ETNG Pipeline Conditions for 9/8/2022,,ET
70,Capacity Constraint,09/06/2022 02:34:40 PM,09/07/2022 09:00:00 AM,09/08/2022 09:00:00 AM,124736,ETNG Pipeline Conditions for 9/7/2022,,ET
71,Operational Flow Order,09/06/2022 09:35:06 AM,09/06/2022 09:35:06 AM,12/05/2022 09:31:36 AM,124724,ETNG Operational Flow Order,,ET
72,Operational Flow Order,09/06/2022 09:34:06 AM,09/06/2022 09:34:06 AM,12/05/2022 09:30:06 AM,124723,ETNG Operational Flow Order -- LIFTED,,ET
73,Capacity Constraint,09/05/2022 02:59:39 PM,09/06/2022 09:00:00 AM,09/07/2022 09:00:00 AM,124703,ETNG Pipeline Conditions for 9/6/2022,,ET
74,Capacity Constraint,09/04/2022 02:45:27 PM,09/05/2022 09:00:00 AM,09/06/2022 09:00:00 AM,124675,ETNG Pipeline Conditions for 9/5/2022,,ET
75,Capacity Constraint,09/03/2022 02:55:16 PM,09/04/2022 09:00:00 AM,09/05/2022 09:00:00 AM,124649,ETNG Pipeline Conditions for 9/4/2022,,ET
76,Capacity Constraint,09/02/2022 02:58:48 PM,09/03/2022 09:00:00 AM,09/04/2022 09:00:00 AM,124613,ETNG Pipeline Conditions for 9/3/2022,,ET
77,Capacity Constraint,09/01/2022 02:15:54 PM,09/02/2022 09:00:00 AM,09/03/2022 09:00:00 AM,124580,ETNG Pipeline Conditions for 9/2/2022,,ET
78,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124555,Application Maintenance on September 14,,ET
